x,y,alt,az,alt_err,az_err,sample_size,star_name,ra,dec,real_alt,real_az
929.0,273.0,34.33830804171334,271.2520504598975,0.0,0.0,1.0, 76Del Aqr,22h54m39.0s,-15d49m15s,34.393376569629666,271.25734935784953
770.0,630.0,59.38775186283986,150.64863053198886,0.0,0.0,1.0,   Alp Dor,04h33m59.8s,-55d02m42s,59.41408479301621,150.73942094702636
783.0,725.0,40.90167320644901,147.72575943730683,0.0,0.0,1.0,   Alp Pic,06h48m11.4s,-61d56m29s,40.93073528141293,147.69730746070087
861.0,482.0,64.0872013041491,224.20381797413518,0.0,0.0,1.0,   Bet Phe,01h06m05.0s,-46d43m07s,64.14727626471814,224.00004957860745
569.0,568.0,54.614843183221645,74.3826550325351,0.0,0.0,1.0,  5Mu  Lep,05h12m55.9s,-16d12m20s,54.570757669795874,74.37688168818306
875.0,797.0,21.85176605717348,159.96016033126512,0.0,0.0,1.0,   Ome Car,10h13m44.2s,-70d02m17s,21.9473922827313,159.94634155653463
562.0,770.0,24.89902658468409,105.40900085698514,0.0,0.0,1.0,  7Xi  Pup,07h49m17.7s,-24d51m35s,24.894245230386183,105.40404086383408
812.0,636.0,55.253496957562504,163.2181584650681,0.0,0.0,1.0,   Alp Ret,04h14m25.5s,-62d28m26s,55.3468189031277,163.22281325180086
499.0,540.0,44.06523985676871,59.97726515722492,0.0,0.0,1.0, 28Eta Ori,05h24m28.6s,-02d23m49s,44.0589497172148,59.843001685342884
460.0,239.0,20.541872614770238,2.9797855975193386,0.0,0.0,1.0, 25Rho Per,03h05m10.6s,+38d50m25s,20.5289512041284,3.0745752048879167
467.0,411.0,37.84888411195054,30.351918209037386,0.0,0.0,1.0, 78The2Tau,04h28m39.7s,+15d52m15s,37.94965272119534,30.425699083591464
567.0,203.0,28.341540450242785,345.77381297502336,0.0,0.0,1.0,  2Alp Tri,01h53m04.9s,+29d34m44s,28.320950280077874,345.83536326236106
834.0,477.0,69.32016646736005,226.50472623086102,0.0,0.0,1.0,   Gam Phe,01h28m21.9s,-43d19m06s,69.26116008266013,226.39933762084578
